player_name,game_date,season,inning,at_bat_number,pitch_number,release_speed,release_spin_rate,pfx_x,pfx_z,release_extension,balls,strikes
"Cole, Gerrit",2019-04-03,2019,6,49,2,97.9,2605,-0.97,1.31,6,0,1
"Cole, Gerrit",2019-04-03,2019,6,48,5,98.8,2634,-0.66,1.32,6,1,2
"Cole, Gerrit",2019-04-03,2019,6,48,3,97.3,2541,-0.71,1.55,6.3,1,1
"Cole, Gerrit",2019-04-03,2019,6,47,5,97.6,2641,-1,1.47,5.9,2,2
"Cole, Gerrit",2019-04-03,2019,6,47,1,96.7,2648,-0.95,1.51,6,0,0
"Cole, Gerrit",2019-04-03,2019,5,42,2,96.8,2580,-0.7,1.6,6.4,0,1
"Cole, Gerrit",2019-04-03,2019,5,41,2,98.4,2484,-0.93,1.33,6.3,1,0
"Cole, Gerrit",2019-04-03,2019,5,40,3,98.8,2614,-1.11,1.37,6.2,0,2
"Cole, Gerrit",2019-04-03,2019,5,40,2,98.1,2589,-0.91,1.18,6.3,0,1
"Cole, Gerrit",2019-04-03,2019,5,39,6,97.1,2575,-0.83,1.37,6.1,3,2
"Cole, Gerrit",2019-04-03,2019,5,39,2,95.4,2537,-0.74,1.61,6,1,0
"Cole, Gerrit",2019-04-03,2019,4,34,3,97.7,2518,-0.89,1.51,6,0,2
"Cole, Gerrit",2019-04-03,2019,4,34,2,96.2,2474,-0.96,1.44,6.4,0,1
"Cole, Gerrit",2019-04-03,2019,4,34,1,97.2,2454,-0.51,1.65,6.5,0,0
"Cole, Gerrit",2019-04-03,2019,4,33,3,96.3,2375,-1.11,1.39,6.3,1,1
"Cole, Gerrit",2019-04-03,2019,4,33,1,96.7,2495,-0.82,1.5,6.2,0,0
"Cole, Gerrit",2019-04-03,2019,4,32,1,98,2480,-0.77,1.43,6.3,0,0
"Cole, Gerrit",2019-04-03,2019,4,30,6,98.1,2549,-0.81,1.55,6.5,3,2
"Cole, Gerrit",2019-04-03,2019,4,30,4,96.5,2534,-1.1,1.46,6.8,3,0
"Cole, Gerrit",2019-04-03,2019,4,30,3,97.2,2606,-1.41,1.55,5.8,2,0
"Cole, Gerrit",2019-04-03,2019,4,29,5,97.8,2540,-0.92,1.43,5.9,1,2
"Cole, Gerrit",2019-04-03,2019,4,29,4,97.6,2571,-0.74,1.74,6.1,1,2
"Cole, Gerrit",2019-04-03,2019,4,29,1,96.5,2650,-1.17,1.67,6.4,0,0
"Cole, Gerrit",2019-04-03,2019,3,24,7,98,2492,-0.68,1.41,6.3,3,2
"Cole, Gerrit",2019-04-03,2019,3,24,5,97.5,2474,-0.61,1.39,6.4,2,2
"Cole, Gerrit",2019-04-03,2019,3,24,4,98.7,2658,-0.81,1.49,6.3,1,2
"Cole, Gerrit",2019-04-03,2019,3,24,3,97.1,2520,-0.69,1.55,6.4,1,1
"Cole, Gerrit",2019-04-03,2019,3,24,1,95.2,2514,-1.22,1.58,6,0,0
"Cole, Gerrit",2019-04-03,2019,3,23,2,96.5,2421,-0.75,1.52,5.8,0,1
"Cole, Gerrit",2019-04-03,2019,3,23,1,96.1,2494,-0.8,1.42,6.1,0,0
"Cole, Gerrit",2019-04-03,2019,3,22,1,95.5,2572,-0.95,1.67,6.1,0,0
"Cole, Gerrit",2019-04-03,2019,2,17,6,97.7,2640,-0.87,1.51,6.1,3,2
"Cole, Gerrit",2019-04-03,2019,2,17,5,97.4,2577,-0.7,1.45,6,2,2
"Cole, Gerrit",2019-04-03,2019,2,17,4,97.4,2617,-1.05,1.48,6.1,1,2
"Cole, Gerrit",2019-04-03,2019,2,17,3,96,2570,-0.88,1.44,6.1,1,1
"Cole, Gerrit",2019-04-03,2019,2,17,1,96.1,2555,-0.7,1.7,6.2,0,0
"Cole, Gerrit",2019-04-03,2019,2,16,3,96,2463,-0.62,1.6,6,1,1
"Cole, Gerrit",2019-04-03,2019,2,16,1,96.7,2553,-0.81,1.5,5.9,0,0
"Cole, Gerrit",2019-04-03,2019,2,15,4,97.1,2477,-0.75,1.59,6.2,1,2
"Cole, Gerrit",2019-04-03,2019,2,15,1,94.3,2508,-0.96,1.48,5.8,0,0
"Cole, Gerrit",2019-04-03,2019,1,10,4,98.5,2532,-0.88,1.58,5.9,0,2
"Cole, Gerrit",2019-04-03,2019,1,10,2,97,2559,-1.17,1.21,6.3,0,1
"Cole, Gerrit",2019-04-03,2019,1,10,1,98.8,2526,-0.69,1.61,6.6,0,0
"Cole, Gerrit",2019-04-03,2019,1,9,5,98.2,2596,-0.86,1.56,6,2,2
"Cole, Gerrit",2019-04-03,2019,1,9,4,96.7,2575,-0.95,1.66,6.1,2,1
"Cole, Gerrit",2019-04-03,2019,1,9,2,96.1,2475,-1.05,1.25,6.3,1,0
"Cole, Gerrit",2019-04-03,2019,1,8,2,97.7,2528,-1.1,1.32,6,1,0
"Cole, Gerrit",2019-04-03,2019,1,8,1,95.8,2510,-0.94,1.47,6,0,0
"Cole, Gerrit",2019-04-03,2019,1,7,1,95.4,2546,-0.55,1.36,6.4,0,0
"Cole, Gerrit",2019-04-03,2019,1,6,3,96.5,2598,-0.8,1.8,5.8,1,1
"Cole, Gerrit",2019-04-03,2019,1,6,1,96.3,2634,-1.05,1.5,5.8,0,0
"Cole, Gerrit",2019-04-03,2019,1,5,5,98.8,2563,-0.66,1.49,6.3,2,2
"Cole, Gerrit",2019-04-03,2019,1,5,2,95.3,2578,-0.98,1.87,6.2,1,0
"Cole, Gerrit",2019-04-03,2019,1,5,1,95.9,2710,-0.89,1.82,5.9,0,0
"Wheeler, Zack",2019-03-31,2019,5,43,3,96.3,2340,-0.95,1.4,6.5,0,2
"Alcantara, Sandy",2019-03-31,2019,8,54,8,96,2304,-0.88,1.14,5.6,3,2
"Alcantara, Sandy",2019-03-31,2019,8,54,7,94.9,2344,-0.84,1.07,5.8,3,2
"Alcantara, Sandy",2019-03-31,2019,8,54,5,94.3,2183,-0.88,1.23,5.6,3,1
